code,name,market
1711,省電舎,東証2部
1712,ダイセキソリュ,東証1部
1716,第一カッター,JQスタンダード
1717,明豊ファシリ,JQスタンダード
1718,美樹工業,JQスタンダード
1719,安藤ハザマ,東証1部
1720,東急建設,東証1部
1721,コムシスHD,東証1部
1722,MISAWA,東証1部
1723,日本電技,JQスタンダード
1724,シンクレイヤ,JQスタンダード
1726,BRHD,東証1部
1728,ミサワ中国,JQスタンダード
1730,麻生フオーム,JQスタンダード
1734,北弘電社,札証
1736,オーテック,JQスタンダード
1737,三井エンジ,東証2部
1739,SEEDH,JQグロース
1743,コーアツ工業,東証2部
1743,コーアツ工業,福証
1757,クレアHD,東証2部
1758,太洋基礎,JQスタンダード
1762,高松G,東証1部
1764,工藤建設,東証2部
1766,東建コーポ,東証1部
1768,ソネック,東証1部
1770,藤田エンジ,JQスタンダード
1771,日本乾溜,福証
1773,YTL,東証1部外国
1775,FFE&C,東証2部
1776,三住道路,東証2部
1780,ヤマウラ,東証1部
1782,常磐開発,JQスタンダード
1783,アジアGTHD,JQスタンダード
1787,ナカボーテック,JQスタンダード
1788,三東工業,JQスタンダード
1789,山加電業,JQスタンダード
1793,大本組,JQスタンダード
1795,マサル,JQスタンダード
1798,守谷商会,JQスタンダード
1799,第一建設,JQスタンダード
1801,大成建,東証1部
1802,大林組,東証1部
1802,大林組,福証
1803,清水建,東証1部
1805,飛島建,東証1部
1807,佐藤渡辺,JQスタンダード
1808,長谷工,東証1部
1810,松井建,東証1部
1811,銭高組,東証1部
1812,鹿島,東証1部
1813,不動テトラ,東証1部
1814,大末建,東証1部
1815,鉄建建設,東証1部
1820,西松建,東証1部
1821,三住建設,東証1部
1822,大豊建,東証1部
1824,前田建,東証1部
1826,佐田建,東証1部
1827,ナカノフドー,東証1部
1828,田辺工,東証2部
1832,北海工,札証
1833,奥村組,東証1部
1835,東鉄工,東証1部
1840,土屋HD,東証2部
1840,土屋HD,札証
1841,サンユ建,JQスタンダード
1844,大盛工業,東証2部
1846,鈴縫工,東証2部
1847,イチケン,東証1部
1848,富士P･S,東証2部
1848,富士P･S,福証
1850,南海辰村,東証2部
1852,浅沼組,東証1部
1853,森組,東証2部
1860,戸田建,東証1部
1861,熊谷組,東証1部
1865,青木あす,東証1部
1866,北野建,東証1部
1867,植木組,東証1部
1868,三井ホーム,東証1部
1870,矢作建,東証1部
1871,PS三菱,東証1部
1873,日ハウスHD,東証1部
1878,大東建,東証1部
1879,新日建,東証1部
1881,NIPPO,東証1部
1881,NIPPO,札証
1882,東亜道,東証1部
1883,前田道,東証1部
1884,日道路,東証1部
1885,東亜建,東証1部
1885,東亜建,札証
1888,若築建,東証1部
1890,東洋建,東証1部
1893,五洋建,東証1部
1896,大林道,東証1部
1897,金下建,東証2部
1898,世紀東,東証1部
1899,福田組,東証1部
1904,大成温,JQスタンダード
1905,テノックス,JQスタンダード
1906,細田工,JQスタンダード
1909,日本ドライ,東証1部
1911,住友林,東証1部
1914,日基礎,東証1部
1916,日ビルド,東証1部
1919,ヤマダSXL,東証1部
1921,巴コーポ,東証1部
1921,巴コーポ,札証
1924,パナホーム,東証1部
1925,大和ハウス,東証1部
1926,ライト工,東証1部
1928,積水ハウス,東証1部
1929,日特建,東証1部
1930,北電事,東証1部
1931,日本電通,東証2部
1933,SYSKEN,東証2部
1933,SYSKEN,福証
1934,ユアテック,東証1部
1935,TTK,東証2部
1937,西電工,東証1部
1937,西電工,福証
1938,日リーテック,東証2部
1939,四電工,東証1部
1941,中電工,東証1部
1942,関電工,東証1部
1944,きんでん,東証1部
1945,東京エネシス,東証1部
1946,トーエネク,東証1部
1948,弘電社,東証2部
1949,住電設,東証1部
1950,日本電設,東証1部
1951,協エクシオ,東証1部
1952,日空調,東証1部
1954,日工営,東証1部
1956,NDS,東証1部
1959,九電工,東証1部
1959,九電工,福証
1960,サンテック,東証2部
1961,三機工,東証1部
1963,日揮,東証1部
1964,中外炉,東証1部
1965,テクノ菱和,東証2部
1966,高田工,東証2部
1966,高田工,福証
1967,ヤマト,東証1部
1968,太平電,東証1部
1969,高砂熱,東証1部
1971,ビルト工,東証2部
1972,三晃金,東証1部
1973,NESIC,東証1部
1975,朝日工,東証1部
1976,明星工,東証1部
1979,大気社,東証1部
1980,ダイダン,東証1部
1981,協和日成,JQスタンダード
1982,日比谷,東証1部
1983,東芝プラ,東証1部
1984,三信建,JQスタンダード
1987,ソルコム,東証2部
1989,北電話,東証2部
1992,神通機,JQスタンダード
1994,高橋ウォル,JQスタンダード
1997,暁飯島,JQスタンダード
1999,サイタHD,福証
2001,日本粉,東証1部
2002,日清粉G,東証1部
2003,日東富士,東証1部
2004,昭和産,東証1部
2008,増田粉,東証2部
2009,鳥越粉,東証1部
2009,鳥越粉,福証
2031,ハンセンブル,東証
2032,ハンセンベア,東証
2033,KOSPIブル,東証
2034,KOSPIベア,東証
2035,日経VI,東証
2036,金ブル,東証
2037,金ベア,東証
2038,原油ブル,東証
2039,原油ベア,東証
2040,NYダウブル,東証
2041,NYダウベア,東証
2042,マザーETN,東証
2043,アセアン50,東証
2044,米配貴族,東証
2045,シンガポルR,東証
2046,インドブル,東証
2047,インドベア,東証
2048,高配ヘッジ,東証
2049,VIXベア,東証
2053,中部飼,東証1部
2055,日和産,東証2部
2058,ヒガシマル,福証
2060,フィード･ワン,東証1部
2065,日配貴族,東証
2066,東リートETN,東証
2107,東洋糖,東証1部
2108,甜菜糖,東証1部
2109,三井製糖,東証1部
2112,塩水糖,東証1部
2114,フジ日糖,東証2部
2117,日新製糖,東証1部
2120,ネクスト,東証1部
2121,ミクシィ,東証マザーズ
2122,Iスペース,東証マザーズ
2124,JACR,東証1部
2127,M&A,東証1部
2130,メンバーズ,東証2部
2131,アコーディア,東証1部
2134,サンキャピタル,JQスタンダード
2136,ヒップ,JQスタンダード
2137,Hヴェラス,札証アンビシャス
2138,クルーズ,JQスタンダード
2139,中広,東証1部
2144,やまねM,JQグロース
2145,データリンクス,JQスタンダード
2146,UTGROUP,JQスタンダード
2148,ITM,東証マザーズ
2150,ケアネット,東証マザーズ
2151,タケエイ,東証1部
2152,幼児活動,JQスタンダード
2153,イージェイHD,東証2部
2154,トラスト･テック,東証1部
2156,セーラー広告,JQスタンダード
2157,コシダカHD,東証1部
2158,FRONTEO,東証マザーズ
2159,フルスピード,東証マザーズ
2160,ジーエヌアイ,東証マザーズ
2162,nms,JQスタンダード
2163,アルトナー,JQスタンダード
2164,地域新聞,JQグロース
2168,パソナ,東証1部
2169,CDS,東証1部
2170,LINK&M,東証1部
2172,インサイト,札証アンビシャス
2173,博展,JQグロース
2174,GCA,東証1部
2175,SMS,東証1部
2176,イナリサーチ,JQスタンダード
2178,トライステージ,東証マザーズ
2179,成学社,JQスタンダード
2180,サニーサイド,JQグロース
2181,テンプHD,東証1部
2183,リニカル,東証1部
2185,シイエム･シイ,JQスタンダード
2186,ソーバル,JQスタンダード
2191,テラ,JQスタンダード
2193,COOK,東証1部
2195,アミタHD,JQグロース
2196,エスクリ,東証1部
2198,アイ･ケイ･ケイ,東証1部
2201,森永菓,東証1部
2204,中村屋,東証1部
2206,グリコ,東証1部
2207,名糖産,東証1部
2208,ブルボン,東証2部
2209,井村屋G,東証2部
2211,不二家,東証1部
2212,山崎パン,東証1部
2215,第一パン,東証1部
2216,カンロ,東証2部
2217,モロゾフ,東証1部
2218,日糧パン,札証
2220,亀田菓,東証1部
2221,岩塚菓,JQスタンダード
2222,寿スピリッツ,東証1部
2224,コモ,JQスタンダード
2226,湖池屋,JQスタンダード
2228,シベール,JQスタンダード
2229,カルビー,東証1部
2230,GOYO,東証TPM
2264,森永乳,東証1部
2266,六甲バタ,東証1部
2267,ヤクルト,東証1部
2268,サーティワン,JQスタンダード
2269,明治HD,東証1部
2270,雪印メグ,東証1部
2270,雪印メグ,札証
2281,プリマハム,東証1部
2282,日本ハム,東証1部
2286,林兼産,東証1部
2288,丸大食,東証1部
2291,福留ハム,東証2部
2292,SFoods,東証1部
2293,滝沢ハム,JQスタンダード
2294,柿安本店,JQスタンダード
2296,伊藤米久,東証1部
2300,きょくと,JQスタンダード
2301,学情,東証1部
2303,ドーン,JQスタンダード
2304,CSSHD,JQスタンダード
2305,スタジオアリス,東証1部
2307,クロスキャット,JQスタンダード
2309,シミックHD,東証1部
2311,エプコ,JQスタンダード
2315,SJI,JQスタンダード
2317,システナ,東証1部
2321,ソフトフロントH,JQグロース
2323,fonfun,JQスタンダード
2325,NJS,東証1部
2326,デジアーツ,東証1部
2327,NSSOL,東証1部
2329,東北新社,JQスタンダード
2330,フォーサイド,JQスタンダード
2331,ALSOK,東証1部
